Linha,prefixo,count,,,,,,,
941,7276,3233,,,,,,,
943,8636,3223,,,,,,,
942,7559,3193,,,,,,,
900,7507,3175,,,,,,,
928,8620,3142,,,,,,,
934EX1,7273,3132,,,,,,,
934EX1,7123,3112,,,,,,,
919,8204,3105,,,,,,,
939,8425,3105,,,,,,,
904,8615,3098,,,,,,,
906,8139,3095,,,,,,,
904,7123,3094,,,,,,,
931,7310,3093,,,,,,,
934EX1,8425,3090,,,,,,,
931,7243,3072,,,,,,,
934EX1,8416,3071,,,,,,,
942,8401,3067,,,,,,,
943,7307,3035,,,,,,,
950,6202,3018,,,,,,,
939,7103,3016,,,,,,,
900,7211,3011,,,,,,,
905EX1,8618,3006,,,,,,,
934,7305,2996,,,,,,,
905,9511,2993,,,,,,,
900,7201,2979,,,,,,,
934EX1,8417,2956,,,,,,,
931,7274,2937,,,,,,,
906,7552,2936,,,,,,,
934EX1,7076,2934,,,,,,,
919,8408,2921,,,,,,,
949,6604,2910,,,,,,,
913,7258,2908,,,,,,,
934,8436,2873,,,,,,,
934EX1,8433,2869,,,,,,,
918,7160,2861,,,,,,,
939,7270,2861,,,,,,,
934,8637,2842,,,,,,,
906,8151,2836,,,,,,,
933,7247,2830,,,,,,,
940,7143,2827,,,,,,,
903,8002,2818,,,,,,,
928,8212,2812,,,,,,,
942,7317,2805,,,,,,,
934,8647,2803,,,,,,,
955,9503,2801,,,,,,,
917,7551,2793,,,,,,,
942,8150,2793,,,,,,,
907,7211,2774,,,,,,,
927,8413,2768,,,,,,,
942,7318,2765,,,,,,,
912,7148,2764,,,,,,,
902,8138,2759,,,,,,,
906,7558,2759,,,,,,,
907,7283,2754,,,,,,,
906,8137,2734,,,,,,,
934EX1,8421,2731,,,,,,,
934EX1,8430,2722,,,,,,,
930,8657,2719,,,,,,,
918,8407,2713,,,,,,,
932,8431,2712,,,,,,,
947,7158,2700,,,,,,,
918,8154,2684,,,,,,,
947,8166,2672,,,,,,,
933,7305,2671,,,,,,,
944,9113,2671,,,,,,,
955,9511,2651,,,,,,,
939,8205,2649,,,,,,,
934,8419,2647,,,,,,,
942,8173,2642,,,,,,,
938,7572,2640,,,,,,,
955,8618,2640,,,,,,,
942,8171,2634,,,,,,,
934EX1,8438,2627,,,,,,,
904,7269,2613,,,,,,,
942,8162,2606,,,,,,,
903,9101,2604,,,,,,,
955,9502,2601,,,,,,,
906,8173,2595,,,,,,,
912,8432,2592,,,,,,,
930,8660,2591,,,,,,,
915,7514,2587,,,,,,,
930EX1,6609,2566,,,,,,,
909,6605,2562,,,,,,,
934EX1,7109,2562,,,,,,,
932,8430,2555,,,,,,,
939,8617,2536,,,,,,,
942,8405,2535,,,,,,,
930,8665,2533,,,,,,,
931,7257,2532,,,,,,,
912BI1,7148,2516,,,,,,,
902,7286,2505,,,,,,,
933,7241,2498,,,,,,,
931,8639,2481,,,,,,,
934EX1,8432,2480,,,,,,,
933BI1,7245,2466,,,,,,,
948,7266,2448,,,,,,,
917,7156,2440,,,,,,,
934EX1,7142,2429,,,,,,,
942,8146,2426,,,,,,,
936,7559,2425,,,,,,,
931,7137,2418,,,,,,,
931,8605,2413,,,,,,,
939,8631,2409,,,,,,,
947,7557,2408,,,,,,,
938,7573,2386,,,,,,,
904,7197,2384,,,,,,,
933,7586,2380,,,,,,,
947,7553,2377,,,,,,,
934EX1,7111,2372,,,,,,,
943,7302,2369,,,,,,,
912,7111,2366,,,,,,,
915,7509,2360,,,,,,,
936,8145,2346,,,,,,,
943,8607,2341,,,,,,,
944,9112,2337,,,,,,,
938,7567,2333,,,,,,,
942,8147,2332,,,,,,,
919,7162,2331,,,,,,,
906,7554,2329,,,,,,,
942,7315,2329,,,,,,,
905,9509,2318,,,,,,,
925,7404,2315,,,,,,,
905EX1,8619,2307,,,,,,,
927,7075,2306,,,,,,,
917,7550,2304,,,,,,,
949,6600,2304,,,,,,,
948,8206,2298,,,,,,,
943BI1,7271,2290,,,,,,,
918,7154,2286,,,,,,,
911,7138,2282,,,,,,,
906,7557,2274,,,,,,,
900,7571,2270,,,,,,,
917,8411,2270,,,,,,,
929,6613,2264,,,,,,,
933,7256,2257,,,,,,,
919,7158,2248,,,,,,,
940,8419,2246,,,,,,,
944,9114,2240,,,,,,,
904,7275,2236,,,,,,,
905,7544,2225,,,,,,,
942,8400,2225,,,,,,,
939,7101,2218,,,,,,,
901,7229,2209,,,,,,,
939,8426,2207,,,,,,,
905,9502,2202,,,,,,,
927,7267,2194,,,,,,,
934,7102,2191,,,,,,,
934,8211,2186,,,,,,,
900,7503,2184,,,,,,,
910,9623,2181,,,,,,,
906,8121,2178,,,,,,,
938,8123,2173,,,,,,,
910,9617,2169,,,,,,,
905EX1,9501,2161,,,,,,,
931,8616,2159,,,,,,,
918,7155,2156,,,,,,,
904,8630,2154,,,,,,,
904,8647,2154,,,,,,,
943BI1,8637,2149,,,,,,,
915,7564,2140,,,,,,,
943,8437,2138,,,,,,,
906,8144,2131,,,,,,,
931,7304,2124,,,,,,,
931,8627,2117,,,,,,,
927,8208,2116,,,,,,,
931,8614,2116,,,,,,,
934,7150,2099,,,,,,,
901BI1,7297,2093,,,,,,,
948,8412,2080,,,,,,,
948,8625,2075,,,,,,,
934,7172,2074,,,,,,,
936,8135,2066,,,,,,,
941,8616,2059,,,,,,,
906,7556,2047,,,,,,,
936,7405,2041,,,,,,,
942,8136,2034,,,,,,,
912BI1,7135,2033,,,,,,,
918,8200,2018,,,,,,,
915,7510,2015,,,,,,,
932,7104,2011,,,,,,,
906,7553,2005,,,,,,,
908,7528,2004,,,,,,,
940,7140,1993,,,,,,,
912,7135,1990,,,,,,,
910,9616,1986,,,,,,,
948,8422,1966,,,,,,,
918,8405,1965,,,,,,,
907,7296,1960,,,,,,,
905,9505,1959,,,,,,,
943BI1,7146,1959,,,,,,,
906,8127,1953,,,,,,,
919,8200,1945,,,,,,,
940,8602,1937,,,,,,,
936,7561,1928,,,,,,,
945,7302,1928,,,,,,,
934EX1,7104,1916,,,,,,,
942,7237,1911,,,,,,,
908,7521,1909,,,,,,,
945,7310,1896,,,,,,,
908,8118,1880,,,,,,,
915,7511,1877,,,,,,,
907,7297,1874,,,,,,,
910,9614,1872,,,,,,,
905,9507,1869,,,,,,,
930,8650,1867,,,,,,,
947,7561,1865,,,,,,,
919,8403,1857,,,,,,,
941,8629,1857,,,,,,,
905EX1,9507,1853,,,,,,,
934EX1,7542,1853,,,,,,,
940,7142,1852,,,,,,,
936,8126,1848,,,,,,,
917,8169,1847,,,,,,,
906,7555,1846,,,,,,,
936,7560,1843,,,,,,,
919,8401,1842,,,,,,,
915,7415,1828,,,,,,,
948,8646,1828,,,,,,,
902,7290,1822,,,,,,,
909,6609,1802,,,,,,,
901,7516,1798,,,,,,,
906,8133,1798,,,,,,,
943,8423,1789,,,,,,,
910,9621,1788,,,,,,,
939,8207,1778,,,,,,,
906,7540,1777,,,,,,,
913,8615,1777,,,,,,,
919,8138,1775,,,,,,,
931,7261,1770,,,,,,,
930,8664,1766,,,,,,,
930,8601,1762,,,,,,,
910,9611,1754,,,,,,,
929,6614,1750,,,,,,,
927,8626,1749,,,,,,,
942,8157,1749,,,,,,,
934,8633,1748,,,,,,,
936,8124,1747,,,,,,,
908,7522,1741,,,,,,,
936,7400,1741,,,,,,,
904,8603,1740,,,,,,,
942,8167,1737,,,,,,,
948,8608,1734,,,,,,,
930,8666,1729,,,,,,,
925,8117,1726,,,,,,,
933,8631,1726,,,,,,,
942,7155,1720,,,,,,,
917,8652,1705,,,,,,,
936,7563,1703,,,,,,,
938,8120,1700,,,,,,,
901BI1,7573,1699,,,,,,,
900,7208,1697,,,,,,,
934,8431,1696,,,,,,,
906,7402,1694,,,,,,,
930,8658,1693,,,,,,,
942,7551,1687,,,,,,,
942,8402,1680,,,,,,,
917,8653,1677,,,,,,,
917,8147,1671,,,,,,,
925,7415,1656,,,,,,,
910,9612,1654,,,,,,,
906,8131,1648,,,,,,,
931,8625,1641,,,,,,,
934,7078,1636,,,,,,,
938,7568,1627,,,,,,,
943,8632,1626,,,,,,,
934EX1,7125,1624,,,,,,,
918,8409,1623,,,,,,,
910,9618,1615,,,,,,,
942,8408,1611,,,,,,,
948,8635,1607,,,,,,,
910,9613,1606,,,,,,,
943,8645,1606,,,,,,,
940,7105,1603,,,,,,,
925,7410,1597,,,,,,,
952,7515,1593,,,,,,,
910,9619,1587,,,,,,,
936,8142,1577,,,,,,,
908,7516,1572,,,,,,,
938,7566,1569,,,,,,,
948,7118,1567,,,,,,,
900,8106,1565,,,,,,,
910,9622,1560,,,,,,,
900,8110,1556,,,,,,,
912,7109,1556,,,,,,,
931,7143,1551,,,,,,,
955,9512,1540,,,,,,,
907,7287,1539,,,,,,,
933,8614,1539,,,,,,,
906,8117,1538,,,,,,,
918,8410,1537,,,,,,,
919,8170,1534,,,,,,,
915,7233,1532,,,,,,,
932,7102,1532,,,,,,,
905,8619,1530,,,,,,,
938,7569,1525,,,,,,,
910,9605,1523,,,,,,,
905,7254,1513,,,,,,,
947,8651,1512,,,,,,,
955,8621,1506,,,,,,,
942,7552,1504,,,,,,,
947,8169,1496,,,,,,,
942,8121,1495,,,,,,,
933,7246,1490,,,,,,,
911,7130,1479,,,,,,,
903VP1,8002,1474,,,,,,,
947,7555,1465,,,,,,,
929,6615,1432,,,,,,,
947,7507,1417,,,,,,,
942,7319,1415,,,,,,,
912,7138,1412,,,,,,,
904,7196,1408,,,,,,,
901,7528,1404,,,,,,,
931,7148,1392,,,,,,,
941,7254,1384,,,,,,,
947,8135,1384,,,,,,,
912,8429,1383,,,,,,,
930,8662,1383,,,,,,,
936,8155,1383,,,,,,,
910,9603,1376,,,,,,,
943BI1,8421,1376,,,,,,,
942,7154,1374,,,,,,,
938,7571,1355,,,,,,,
901,8154,1354,,,,,,,
925,8655,1353,,,,,,,
938,7574,1348,,,,,,,
938,8143,1348,,,,,,,
901,8122,1340,,,,,,,
934,7241,1330,,,,,,,
901,7547,1329,,,,,,,
906,7238,1329,,,,,,,
913,7253,1326,,,,,,,
900,7568,1325,,,,,,,
907,7207,1322,,,,,,,
911,7115,1322,,,,,,,
925,7409,1320,,,,,,,
930EX1,8600,1319,,,,,,,
900,8668,1316,,,,,,,
933,8624,1315,,,,,,,
910,9615,1312,,,,,,,
947,7562,1309,,,,,,,
933,7261,1303,,,,,,,
912,7144,1296,,,,,,,
901,7409,1294,,,,,,,
927,7125,1289,,,,,,,
933,7254,1279,,,,,,,
930,8668,1278,,,,,,,
905EX1,9504,1276,,,,,,,
954,6611,1276,,,,,,,
911,7135,1274,,,,,,,
900,7518,1272,,,,,,,
903VP1,9109,1264,,,,,,,
934,8634,1264,,,,,,,
925,7418,1262,,,,,,,
936,8122,1259,,,,,,,
900,7236,1257,,,,,,,
938,8146,1255,,,,,,,
934EX1,7544,1254,,,,,,,
900,8124,1253,,,,,,,
939,7105,1250,,,,,,,
902,8155,1247,,,,,,,
908,7535,1247,,,,,,,
942,7157,1238,,,,,,,
954,6607,1238,,,,,,,
915,7513,1233,,,,,,,
905EX1,9502,1229,,,,,,,
942,8407,1229,,,,,,,
934,8416,1228,,,,,,,
904,7244,1222,,,,,,,
930,8648,1222,,,,,,,
901,7417,1218,,,,,,,
940,7101,1217,,,,,,,
947,8153,1216,,,,,,,
942,8135,1210,,,,,,,
936,7562,1206,,,,,,,
909,6603,1202,,,,,,,
931,7275,1199,,,,,,,
942,8411,1198,,,,,,,
905,8620,1195,,,,,,,
945,7273,1195,,,,,,,
938,8130,1184,,,,,,,
904,8622,1180,,,,,,,
943,8418,1180,,,,,,,
930,8655,1177,,,,,,,
908,7511,1170,,,,,,,
908,8152,1170,,,,,,,
942,7402,1168,,,,,,,
910,9624,1167,,,,,,,
930,8653,1162,,,,,,,
951,6600,1162,,,,,,,
933,7257,1161,,,,,,,
904,7267,1156,,,,,,,
925,7565,1154,,,,,,,
910,9608,1152,,,,,,,
942,7569,1149,,,,,,,
903VP1,9106,1138,,,,,,,
900,8119,1135,,,,,,,
939,7541,1134,,,,,,,
942,7540,1130,,,,,,,
940,7144,1118,,,,,,,
900,8120,1112,,,,,,,
927,7112,1109,,,,,,,
930,8651,1109,,,,,,,
940,8634,1109,,,,,,,
949,6601,1108,,,,,,,
904,8608,1107,,,,,,,
902,7283,1104,,,,,,,
927,8424,1104,,,,,,,
931,8635,1102,,,,,,,
939,7146,1097,,,,,,,
939DV1,7105,1097,,,,,,,
900,8114,1096,,,,,,,
900,8152,1094,,,,,,,
938,8136,1092,,,,,,,
907,7238,1091,,,,,,,
908,8123,1086,,,,,,,
909,6612,1080,,,,,,,
909,8667,1078,,,,,,,
921,9609,1072,,,,,,,
949,8656,1064,,,,,,,
954,6603,1062,,,,,,,
942,7162,1060,,,,,,,
925,7212,1058,,,,,,,
942,7557,1054,,,,,,,
938,8119,1051,,,,,,,
942,8133,1048,,,,,,,
931,7542,1044,,,,,,,
938,8125,1043,,,,,,,
910,9607,1038,,,,,,,
910,9604,1036,,,,,,,
906,8116,1035,,,,,,,
906,8112,1032,,,,,,,
900,8107,1029,,,,,,,
911,7151,1028,,,,,,,
934EX1,8424,1027,,,,,,,
939,8643,1023,,,,,,,
908,7518,1022,,,,,,,
908,7558,1021,,,,,,,
938,8116,1018,,,,,,,
921,9606,1017,,,,,,,
933,7543,1014,,,,,,,
930,8600,1012,,,,,,,
934,7278,1006,,,,,,,
934EX1,7112,1006,,,,,,,
917,8107,1005,,,,,,,
905EX1,9500,1002,,,,,,,
940,7113,999,,,,,,,
900,7572,998,,,,,,,
907,8124,997,,,,,,,
934EX1,7140,997,,,,,,,
933,7582,995,,,,,,,
918,8120,988,,,,,,,
900,7402,987,,,,,,,
915,7410,987,,,,,,,
947,7521,983,,,,,,,
930,8659,979,,,,,,,
942,7522,978,,,,,,,
905,7167,971,,,,,,,
905,8618,971,,,,,,,
942,8166,967,,,,,,,
943,8628,965,,,,,,,
931,7543,959,,,,,,,
942,7208,954,,,,,,,
907,8122,953,,,,,,,
900,7409,951,,,,,,,
925,7238,947,,,,,,,
948,7309,947,,,,,,,
934,7243,942,,,,,,,
911,7107,938,,,,,,,
906,8156,937,,,,,,,
940,8413,936,,,,,,,
901,7413,928,,,,,,,
915,7515,928,,,,,,,
936,8111,925,,,,,,,
952,7510,921,,,,,,,
943,8646,919,,,,,,,
912,7112,915,,,,,,,
931,8415,915,,,,,,,
925,8115,913,,,,,,,
936,8141,913,,,,,,,
918,8118,912,,,,,,,
955,9500,908,,,,,,,
908,8143,905,,,,,,,
917,8153,902,,,,,,,
948,8605,900,,,,,,,
909,6611,898,,,,,,,
931,7246,898,,,,,,,
942,8132,896,,,,,,,
940,8635,894,,,,,,,
903VP1,9104,892,,,,,,,
937,8625,891,,,,,,,
947,7556,889,,,,,,,
938,8126,887,,,,,,,
937,8209,878,,,,,,,
900,7521,877,,,,,,,
912BI1,7138,877,,,,,,,
902,7511,873,,,,,,,
900,7229,868,,,,,,,
934,7270,866,,,,,,,
931,7196,863,,,,,,,
942,8170,863,,,,,,,
925,8143,862,,,,,,,
936,7418,860,,,,,,,
910,9620,859,,,,,,,
934,7269,859,,,,,,,
938,8145,858,,,,,,,
921,9608,857,,,,,,,
949,6611,856,,,,,,,
934EX1,7314,855,,,,,,,
942,7550,855,,,,,,,
942,8142,853,,,,,,,
940,7268,850,,,,,,,
949DV1,6610,850,,,,,,,
902,7513,847,,,,,,,
906,8152,847,,,,,,,
900,7234,844,,,,,,,
925,7287,844,,,,,,,
917,8112,843,,,,,,,
925,8112,843,,,,,,,
949,8650,842,,,,,,,
927,7119,840,,,,,,,
900,8122,839,,,,,,,
901,7518,839,,,,,,,
947,8403,838,,,,,,,
910,9610,836,,,,,,,
905,9503,832,,,,,,,
931,7122,832,,,,,,,
945,7274,832,,,,,,,
918,8203,829,,,,,,,
931,7116,829,,,,,,,
901,7206,828,,,,,,,
908,7568,828,,,,,,,
917,8113,827,,,,,,,
928,8633,827,,,,,,,
900,8653,826,,,,,,,
905,7246,825,,,,,,,
942,7554,825,,,,,,,
904,7249,822,,,,,,,
905,8617,822,,,,,,,
940,8603,821,,,,,,,
904,7306,820,,,,,,,
938,8110,820,,,,,,,
900,7511,818,,,,,,,
908,8151,818,,,,,,,
936,8115,818,,,,,,,
907,7294,814,,,,,,,
915,8112,814,,,,,,,
904,8641,813,,,,,,,
931,8644,811,,,,,,,
940,7300,811,,,,,,,
909,6608,806,,,,,,,
936,7565,806,,,,,,,
940,8207,806,,,,,,,
930EX1,8655,804,,,,,,,
901,7574,803,,,,,,,
940,8639,802,,,,,,,
904,8645,801,,,,,,,
913,7249,801,,,,,,,
927,7116,798,,,,,,,
938,8121,798,,,,,,,
913,7262,797,,,,,,,
903VP1,9107,794,,,,,,,
941,7543,794,,,,,,,
904,7261,793,,,,,,,
900,7212,792,,,,,,,
931,7144,791,,,,,,,
901,8111,790,,,,,,,
952,7509,790,,,,,,,
942,8131,789,,,,,,,
943,8424,787,,,,,,,
902,7297,785,,,,,,,
907,7212,783,,,,,,,
938,8209,782,,,,,,,
949,6608,782,,,,,,,
927,8434,780,,,,,,,
900,8659,776,,,,,,,
927,7146,776,,,,,,,
902,7409,774,,,,,,,
930,8661,774,,,,,,,
943,8644,774,,,,,,,
901BI1,7417,773,,,,,,,
900,8666,771,,,,,,,
939,8607,765,,,,,,,
942,7502,765,,,,,,,
945,8213,764,,,,,,,
918,7234,762,,,,,,,
913,7304,761,,,,,,,
904,7542,760,,,,,,,
934EX1,8629,757,,,,,,,
936,7234,757,,,,,,,
948,7542,756,,,,,,,
900,7555,755,,,,,,,
903VP1,9108,754,,,,,,,
949,6603,754,,,,,,,
918,7157,752,,,,,,,
948,7134,752,,,,,,,
901,8170,748,,,,,,,
900,8115,746,,,,,,,
909,6600,746,,,,,,,
937,7272,746,,,,,,,
942,7528,745,,,,,,,
902,7562,744,,,,,,,
904,8633,743,,,,,,,
938,7518,743,,,,,,,
952,7233,741,,,,,,,
903VP1,9105,740,,,,,,,
913,8646,740,,,,,,,
900,7417,739,,,,,,,
947VP1,7560,739,,,,,,,
921,9602,738,,,,,,,
927,8635,737,,,,,,,
928,8630,737,,,,,,,
901,8116,736,,,,,,,
900,7528,734,,,,,,,
901,8126,733,,,,,,,
937,8605,732,,,,,,,
937DV1,8613,731,,,,,,,
942,8155,730,,,,,,,
915,7160,728,,,,,,,
934EX1,7126,725,,,,,,,
943,7109,724,,,,,,,
934,7116,723,,,,,,,
948,7106,723,,,,,,,
911,7117,722,,,,,,,
942,8156,722,,,,,,,
912,7146,716,,,,,,,
949DV1,6600,714,,,,,,,
909,6610,712,,,,,,,
939,8635,709,,,,,,,
933,7271,708,,,,,,,
900,7510,706,,,,,,,
904,7152,705,,,,,,,
917,8111,704,,,,,,,
943,7304,704,,,,,,,
914,8625,702,,,,,,,
942,7316,702,,,,,,,
901,7522,701,,,,,,,
931,7149,701,,,,,,,
943,7313,701,,,,,,,
938,8106,700,,,,,,,
934EX1,7144,699,,,,,,,
901,7513,698,,,,,,,
934EX1,8418,698,,,,,,,
934,7197,696,,,,,,,
954,6604,696,,,,,,,
939DV1,7108,695,,,,,,,
901,7208,693,,,,,,,
904,8604,692,,,,,,,
918,7156,692,,,,,,,
937,7254,691,,,,,,,
936,8170,690,,,,,,,
936,8209,690,,,,,,,
942,7418,689,,,,,,,
902,7201,688,,,,,,,
912,7125,688,,,,,,,
937,8635,688,,,,,,,
900,7283,686,,,,,,,
901,8155,685,,,,,,,
934,7109,684,,,,,,,
928,8643,681,,,,,,,
903VP1,9101,678,,,,,,,
905,7543,677,,,,,,,
937,8641,676,,,,,,,
915,8409,675,,,,,,,
911,7125,673,,,,,,,
939,8603,673,,,,,,,
927,7104,672,,,,,,,
912,7137,670,,,,,,,
931,7106,669,,,,,,,
942,8127,669,,,,,,,
904,8213,665,,,,,,,
900,7547,662,,,,,,,
942,8203,662,,,,,,,
943BI1,7149,662,,,,,,,
948,8617,662,,,,,,,
900,7235,661,,,,,,,
908,7417,658,,,,,,,
915,7417,658,,,,,,,
937,8622,658,,,,,,,
930,8649,657,,,,,,,
942,7571,657,,,,,,,
900,8601,652,,,,,,,
912BI1,7111,652,,,,,,,
900,7237,651,,,,,,,
902,8151,651,,,,,,,
908,7233,650,,,,,,,
912,8412,650,,,,,,,
927,7313,650,,,,,,,
928,7543,649,,,,,,,
947VP1,8651,649,,,,,,,
907,7201,648,,,,,,,
903VP1,9110,646,,,,,,,
934EX1,8631,643,,,,,,,
919,8137,642,,,,,,,
930,8652,640,,,,,,,
900,8129,638,,,,,,,
901,7505,638,,,,,,,
931,8646,638,,,,,,,
931,8608,637,,,,,,,
901,7562,636,,,,,,,
942,8118,636,,,,,,,
901,8129,634,,,,,,,
948DV1,7145,632,,,,,,,
933,7249,630,,,,,,,
942,8151,629,,,,,,,
942,8111,628,,,,,,,
901,7295,627,,,,,,,
915,7200,627,,,,,,,
900,7524,625,,,,,,,
933,8627,625,,,,,,,
939,7129,623,,,,,,,
906,8115,622,,,,,,,
952,7410,622,,,,,,,
947,8165,621,,,,,,,
942,7568,620,,,,,,,
947,7400,620,,,,,,,
901,7549,619,,,,,,,
927,7140,619,,,,,,,
904,7255,615,,,,,,,
