'RMBS','29532','2017-10-0517:40:46','904','1','1','8611','400','V.T.','Pagante'
'RMBS','109653','2016-10-0618:21:39','904','0','0','8611','410','V.T.','Pagante'
'RMBS','130056','2016-10-0714:40:35','904','1','0','8611','400','V.T.','Pagante'
'RMBS','93270','2017-10-0416:59:44','904','0','0','8611','400','V.T.','Pagante'
'RMBS','3623','2016-10-0113:59:24','904','1','0','8611','410','V.T.','Pagante'
'RMBS','104428','2017-10-0720:30:10','904','1','0','8611','400','V.T.','Pagante'
'RMBS','97224','2016-10-0611:07:46','904','0','1','8611','410','V.T.','Pagante'
'RMBS','164103','2016-10-0318:49:06','904','1','0','8611','410','V.T.','Pagante'
'RMBS','140172','2017-10-0405:48:59','904','0','1','8611','400','V.T.','Pagante'
'RMBS','131213','2016-10-0313:05:52','904','0','0','8611','400','V.T.','Pagante'
'RMBS','122858','2016-10-0616:42:52','904','1','0','8611','400','V.T.','Pagante'
'RMBS','86755','2016-10-0300:11:51','904','1','0','8611','410','V.T.','Pagante'
'RMBS','136909','2016-10-0508:04:39','904','1','0','8611','400','V.T.','Pagante'
'RMBS','43186','2016-10-0215:29:34','904','0','1','8611','410','V.T.','Pagante'
'RMBS','44331','2017-10-0405:58:14','904','0','1','8611','400','V.T.','Pagante'
'RMBS','168467','2016-10-0512:11:04','904','1','0','8611','410','V.T.','Pagante'
'RMBS','75442','2017-10-0720:33:14','904','1','0','8611','400','V.T.','Pagante'
'RMBS','26147','2016-10-0406:42:13','904','0','1','8611','410','V.T.','Pagante'
'RMBS','56419','2017-10-0314:47:38','904','1','0','8611','400','V.T.','Pagante'
'RMBS','56419','2017-10-0614:41:57','904','1','0','8611','400','V.T.','Pagante'
'RMBS','115475','2016-10-0713:19:24','904','0','1','8611','410','V.T.','Pagante'
'RMBS','146913','2016-10-0411:06:16','904','0','1','8611','410','V.T.','Pagante'
'RMBS','101639','2016-10-0300:18:49','904','1','0','8611','410','V.T.','Pagante'
'RMBS','160990','2017-10-0113:32:25','904','0','1','8611','400','V.T.','Pagante'
'RMBS','7543','2016-10-0617:01:07','904','1','0','8611','410','V.T.','Pagante'
'RMBS','165038','2017-10-0618:26:37','904','0','0','8611','400','V.T.','Pagante'
'RMBS','65449','2016-10-0310:12:14','904','1','0','8611','410','V.T.','Pagante'
'RMBS','80545','2017-10-0211:19:29','904','0','1','8611','400','V.T.','Pagante'
'RMBS','2981','2017-10-0520:10:18','904','1','0','8611','400','V.T.','Pagante'
'RMBS','28711','2017-10-0308:11:21','904','1','0','8611','400','V.T.','Pagante'
'RMBS','28711','2017-10-0320:50:12','904','0','0','8611','400','V.T.','Pagante'
