['558419', '', 'R. do Col\xc3\xa9gio, 547-715', '', '-23.969798836826264', '-46.390226071323795', '', '', '0', '']
['30689988', '', 'Rua Padre Anchieta, 32', '', '-23.96973242730858', '-46.38596607832943', '', '', '0', '']
['599161', '', 'R. Padre Anchieta, 41-181', '', '-23.968842767332234', '-46.38540769101006', '', '', '0', '']
['655011', '', 'Rua Frei G\xc3\xa1spar, 199', '', '-23.967994002885565', '-46.38197365333535', '', '', '0', '']
['649064', '', 'Av. Pres. Wilson, 1309-1395', '', '-23.966403168994997', '-46.380261874423375', '', '', '0', '']
['575159', '', 'Av. Pres. Wilson, 1021-1033', '', '-23.96755613920826', '-46.37808121845002', '', '', '0', '']
['597166', '', 'Av. Pres. Wilson, 655-679', '', '-23.96932968684071', '-46.37477136492164', '', '', '0', '']
['635118', '', 'Av. Pres. Wilson, 435', '', '-23.970228275867264', '-46.37312070559382', '', '', '0', '']
['599162', '', 'Avenida Presidente Wilson, 51', '', '-23.971871131998668', '-46.37004491456524', '', '', '0', '']
['643096', '', 'Av. Ayrton Senna da Silva, 1107-1397', '', '-23.97030229271688', '-46.36739729021948', '', '', '0', '']
['558420', '', 'Avenida Ayrton Senna da Silva, 26', '', '-23.969756533303162', '-46.363995023487355', '', '', '0', '']
['584255', '', 'Av. Ayrton Senna da Silva, 300-1002', '', '-23.96915155563969', '-46.36137646973977', '', '', '0', '']
['649065', '', 'Avenida Ayrton Senna da Silva, 42 A', '', '-23.96860922370516', '-46.357148579894265', '', '', '0', '']
['597167', '', 'Av. Pres. Wilson, 203-2219', '', '-23.968884507602326', '-46.35536200379242', '', '', '0', '']
['600159', '', 'Av. Pres. Wilson, 181', '', '-23.968619461677097', '-46.352910199906745', '', '', '0', '']
['584256', '', 'Av. Pres. Wilson, 181', '', '-23.96848356519797', '-46.35133452250827', '', '', '0', '']
['649066', '', 'Avenida Presidente Wilson', '', '-23.96825910203647', '-46.349640008000165', '', '', '0', '']
['575160', '', 'Avenida Presidente Wilson, 4307-4439', '', '-23.967967783280187', '-46.34772726880877', '', '', '0', '']
['617131', '', 'Avenida Presidente Wilson, 4023-4275', '', '-23.968146878133574', '-46.344849521990525', '', '', '0', '']
['636135', '', 'Av. Pres. Wilson, 71-137', '', '-23.968306360564547', '-46.34101370152384', '', '', '0', '']
['655012', '', 'Avenida Presidente Wilson, 22', '', '-23.969090979152952', '-46.335936906620326', '', '', '0', '']
['643097', '', 'Av. Vicente de Carvalho, 93-159', '', '-23.970052562612118', '-46.33221397232414', '', '', '0', '']
['617132', '', 'Avenida Presidente Wilson, 2432-2550', '', '-23.970707494297187', '-46.32996168883261', '', '', '0', '']
['636136', '', 'Rua Ivampa Lisboa, 27-75', '', '-23.967081171265864', '-46.328598925604794', '', '', '0', '']
['575161', '', 'Avenida Doutor Washington Luiz, 483', '', '-23.965500957942552', '-46.32840778938466', '', '', '0', '']
['599163', '', 'Av. Washington Lu\xc3\xads, 375-407', '', '-23.961227058128937', '-46.32790058958734', '', '', '0', '']
['643098', '', 'Avenida Doutor Washington Luiz, 325', '', '-23.958752564830935', '-46.327597152557914', '', '', '0', '']
['617133', '', 'Av. Washington Lu\xc3\xads, 223', '', '-23.955754212100096', '-46.32605024641501', '', '', '0', '']
['574169', '', 'Av. Washington Lu\xc3\xads, 173', '', '-23.953684731406224', '-46.32584844361305', '', '', '0', '']
['600160', '', 'Av. Washington Lu\xc3\xads, 49', '', '-23.94940297454127', '-46.325457865225474', '', '', '0', '']
['635119', '', 'Rua Br\xc3\xa1s Cubas, 341', '', '-23.944774051745057', '-46.32511854776473', '', '', '0', '']
['574170', '', 'R. Br\xc3\xa1s Cubas, 289', '', '-23.942840317127434', '-46.32499786722771', '', '', '0', '']
['635120', '', 'R. Br\xc3\xa1s Cubas, 183-211', '', '-23.940208498436874', '-46.32477697051743', '', '', '0', '']
['636137', '', 'R. Br\xc3\xa1s Cubas, 117-131', '', '-23.93799867539762', '-46.32460734224631', '', '', '0', '']
['597168', '', 'Avenida S\xc3\xa3o Francisco, 288', '', '-23.938140878240738', '-46.322832062847645', '', '', '0', '']
['636138', '', 'Avenida S\xc3\xa3o Francisco, 360', '', '-23.93853664167132', '-46.32092730669184', '', '', '0', '']
['584257', '', 'R. S\xc3\xa3o Francisco, 436-472', '', '-23.93884904037013', '-46.3193251198774', '', '', '0', '']
['558407', '', 'Rodovia Anchieta', '', '-23.920765029148257', '-46.41287823802391', '', '', '0', '']
['639181', '', 'Rodovia Anchieta, 4347', '', '-23.92697817307225', '-46.40374733874348', '', '', '0', '']
['641128', '', 'Rodovia Anchieta, 2691', '', '-23.927165551246453', '-46.38540642787706', '', '', '0', '']
['615213', '', 'BR-050, 535', '', '-23.926750939524084', '-46.38181571369829', '', '', '0', '']
['557214', '', 'Rod. Anchieta', '', '-23.927468246881553', '-46.37401439508298', '', '', '0', '']
['637192', '', 'Rodovia Anchieta', '', '-23.92812148498822', '-46.36952388283598', '', '', '0', '']
