"lat"; "lon"; "weight"
-24.1815;  -46.47874; 6
-23.9544;  -46.33115; 10
-24.1817;  -46.4786; 1
-23.96878;  -46.36108; 5
-23.96679;  -46.33268; 8
-23.97219;  -46.39898; 1
-24.1816;  -46.47858; 1
-23.99504;  -46.40727; 6
-23.96826;  -46.40217; 6
-23.94437;  -46.32752; 5
-24.1817;  -46.47872; 28
-23.93713;  -46.33256; 6
-23.96983;  -46.37332; 12
-23.9686;  -46.38542; 1
-23.94446;  -46.32663; 7
-23.97201;  -46.39784; 1
-23.99858;  -46.41452; 2
-23.96982;  -46.36621; 2
-23.97178;  -46.39591; 6
-23.96798;  -46.34365; 7
-24.1819;  -46.47878; 1
-23.97202;  -46.39736; 2
-23.96814;  -46.34347; 1
-23.95346;  -46.33746; 1
-23.96704;  -46.33267; 2
-23.94448;  -46.32669; 2
-23.94522;  -46.33538; 1
-23.96891;  -46.37527; 6
-23.96767;  -46.34743; 5
-23.94398;  -46.33495; 1
-23.9686;  -46.35801; 10
-23.96905;  -46.36163; 9
-23.99665;  -46.40963; 1
-23.96843;  -46.35301; 1
-24.181;  -46.4787; 6
-23.94272;  -46.32504; 1
-24.182;  -46.47852; 7
-23.94156;  -46.33475; 9
-23.94693;  -46.33612; 7
-23.9341;  -46.33094; 1
-23.96787;  -46.34794; 4
-23.9684;  -46.35459; 3
-23.99958;  -46.41549; 13
-23.95311;  -46.33741; 1
-23.9716;  -46.36983; 1
-23.96901;  -46.37475; 4
-23.99876;  -46.41433; 2
-23.96982;  -46.36677; 4
-23.99863;  -46.41441; 5
-23.96546;  -46.38629; 4
-23.95667;  -46.3379; 5
-23.969;  -46.37471; 3
-23.97135;  -46.3704; 1
-23.96737;  -46.37798; 3
-23.96676;  -46.3814; 5
-23.96923;  -46.3748; 12
-24.1818;  -46.47886; 1
-23.95675;  -46.3379; 2
-23.97147;  -46.37048; 1
-24.1823;  -46.47875; 5
-23.99164;  -46.40307; 8
-23.95325;  -46.33742; 1
-23.96848;  -46.35734; 7
-23.95955;  -46.33186; 3
-23.96918;  -46.3744; 6
-23.9684;  -46.35873; 1
-23.96307;  -46.33862; 2
-23.96792;  -46.34742; 1
-23.94527;  -46.33005; 3
-23.95735;  -46.33792; 2
-23.949068;  -46.336944; 29
-23.93828;  -46.32474; 6
-23.9647;  -46.33251; 3
-24.1811;  -46.47867; 3
-24.1822;  -46.47878; 5
-23.96564;  -46.38104; 1
-23.96862;  -46.38528; 2
-23.99934;  -46.41419; 2
-24.1527;  -46.46515; 5
-23.99899;  -46.41381; 1
-24.181;  -46.47872; 3
-23.96826;  -46.38221; 1
-24.1817;  -46.47869; 6
-23.9987;  -46.41449; 11
-23.99866;  -46.41455; 1
-24.1811;  -46.4788; 2
-23.96747;  -46.37806; 6
-23.9698;  -46.36532; 8
-23.9874;  -46.40052; 5
-23.99863;  -46.41435; 3
-23.95891;  -46.33175; 1
-23.97192;  -46.39635; 1
-23.96818;  -46.3823; 6
-23.99871;  -46.41447; 3
-23.94552;  -46.33545; 6
-23.99908;  -46.41421; 4
-24.182;  -46.47875; 21
-24.1813;  -46.47815; 1
-23.96834;  -46.40059; 1
-23.93497;  -46.32776; 2
-23.96851;  -46.353; 1
-23.96432;  -46.38569; 1
-23.96663;  -46.33269; 3
-23.9662;  -46.33266; 9
-23.96813;  -46.34104; 12
-24.1808;  -46.47869; 2
-23.99861;  -46.41447; 4
-24.1806;  -46.47873; 5
-24.1807;  -46.47873; 3
-23.96878;  -46.36106; 7
-23.99876;  -46.4145; 2
-24.1808;  -46.4787; 7
-23.99877;  -46.41453; 5
-23.99136;  -46.40301; 17
-23.9986;  -46.4145; 3
-24.1812;  -46.47872; 8
-23.99833;  -46.41406; 3
-24.1825;  -46.47876; 2
-23.99934;  -46.41421; 6
-23.94387;  -46.32511; 1
-23.98712;  -46.40044; 1
-23.96963;  -46.33324; 1
-23.96601;  -46.38086; 1
-24.1814;  -46.47874; 11
-23.99171;  -46.40317; 2
-23.93454;  -46.3285; 5
-23.97221;  -46.39932; 4
-23.94911;  -46.33062; 1
-23.96811;  -46.35101; 17
-23.96903;  -46.33519; 2
-23.99868;  -46.4145; 4
-24.1816;  -46.47876; 2
-23.99631;  -46.4089; 8
-23.93427;  -46.33529; 4
-23.94079;  -46.33474; 1
-23.96911;  -46.33521; 6
-23.96862;  -46.37567; 2
-23.97208;  -46.39803; 1
-23.94526;  -46.33535; 14
-23.96843;  -46.35675; 5
-23.98163;  -46.4011; 2
-23.99865;  -46.41444; 5
-24.1642;  -46.46829; 1
-23.93359;  -46.33264; 5
-23.9689;  -46.37513; 1
-23.95353;  -46.33744; 2
-24.1812;  -46.4787; 2
-24.182;  -46.47872; 2
-23.9698;  -46.36438; 13
-23.96727;  -46.40203; 3
-23.95798;  -46.33161; 3
-23.96859;  -46.37583; 4
-23.95294;  -46.33745; 3
-23.97005;  -46.38937; 4
-23.96785;  -46.3328; 11
-23.9715;  -46.37044; 1
-23.9694;  -46.38562; 2
-23.93355;  -46.33296; 7
-24.181;  -46.47869; 5
-23.96805;  -46.3496; 1
-23.97174;  -46.39364; 2
-24.474;  -46.43891; 11
-23.96358;  -46.3853; 3
-23.96755;  -46.33902; 4
-24.1805;  -46.47872; 6
-23.94722;  -46.33654; 2
-23.96759;  -46.40247; 12
-23.96419;  -46.38406; 3
-23.94945;  -46.33063; 1
-24.182;  -46.4787; 2
-23.96825;  -46.34076; 4
-23.9598;  -46.33814; 8
-23.95264;  -46.33735; 3
-24.1817;  -46.47875; 14
-24.1825;  -46.47842; 2
-23.96747;  -46.33899; 6
-23.96799;  -46.34972; 1
-23.94155;  -46.3348; 5
-23.93479;  -46.32782; 6
-23.95259;  -46.33097; 6
-23.99819;  -46.41257; 1
-23.99877;  -46.41425; 4
-24.1819;  -46.47877; 18
-23.96801;  -46.34445; 6
-23.96863;  -46.35362; 2
-23.93414;  -46.33527; 9
-23.94222;  -46.33481; 6
-23.96853;  -46.3824; 3
-23.94869;  -46.33684; 2
-23.99869;  -46.41445; 4
-23.96865;  -46.33302; 1
-23.99508;  -46.40726; 1
-23.97184;  -46.39455; 1
-23.96909;  -46.38954; 1
-24.1821;  -46.47848; 1
-24.1811;  -46.47876; 16
-23.93532;  -46.32504; 7
-23.96998;  -46.38625; 2
-23.96889;  -46.33606; 18
-23.96813;  -46.3842; 1
-23.96817;  -46.33292; 8
-23.96797;  -46.38421; 3
-23.97128;  -46.39883; 12
-23.96895;  -46.36205; 2
-23.99866;  -46.41446; 2
-23.94418;  -46.32892; 9
-23.9579;  -46.33157; 6
-23.96516;  -46.33888; 3
-23.99841;  -46.41178; 5
-23.96866;  -46.38884; 2
-23.93484;  -46.33473; 4
-23.95742;  -46.33151; 2
-23.96636;  -46.38664; 1
-23.96839;  -46.35175; 2
-24.1815;  -46.47872; 4
-23.99906;  -46.41419; 2
-23.96977;  -46.3644; 4
-23.97147;  -46.37022; 4
-23.94143;  -46.32494; 1
-23.96742;  -46.37802; 7
-23.96792;  -46.33913; 6
-23.96973;  -46.39026; 2
-23.96838;  -46.35191; 4
-23.96983;  -46.36453; 1
-24.1822;  -46.4787; 3
-24.173;  -46.47106; 1
-23.96653;  -46.40101; 7
-23.97485;  -46.40184; 26
-23.94413;  -46.32977; 3
-24.1821;  -46.47869; 11
-23.96878;  -46.35361; 1
-23.94446;  -46.32674; 1
-23.99866;  -46.41437; 2
-23.97074;  -46.37175; 1
0.0;  0.0; 6
-24.1814;  -46.47878; 11
-23.96993;  -46.38736; 2
-23.96865;  -46.40071; 1
-23.9446;  -46.32529; 1
-23.96704;  -46.38692; 13
-23.95799;  -46.33804; 4
-23.97164;  -46.39847; 5
-23.96219;  -46.33218; 5
-23.97003;  -46.39167; 1
-23.9657;  -46.38099; 2
-23.97906;  -46.40138; 8
-23.95803;  -46.338; 3
-23.98062;  -46.40103; 4
-23.97955;  -46.40138; 3
-24.1815;  -46.47875; 24
-23.96792;  -46.34541; 2
-23.9672;  -46.33255; 7
-23.93512;  -46.32612; 5
-23.96498;  -46.38269; 1
-23.9679;  -46.34615; 3
-23.98698;  -46.40059; 14
-23.96033;  -46.33836; 2
-23.99123;  -46.40284; 5
-23.97077;  -46.37151; 6
-24.1816;  -46.47874; 4
-23.93315;  -46.33441; 8
-23.96643;  -46.37976; 3
-23.99863;  -46.41443; 4
-23.96845;  -46.38248; 4
-23.97185;  -46.36955; 1
-23.94749;  -46.33033; 4
-24.1825;  -46.47879; 7
-23.96607;  -46.3865; 2
-23.96215;  -46.33223; 6
-24.91;  -46.45493; 5
-23.97174;  -46.39333; 5
-24.1401;  -46.46218; 3
-23.99404;  -46.40628; 4
-23.9697;  -46.33321; 2
-23.9918;  -46.40333; 1
-23.96806;  -46.34093; 4
-23.9683;  -46.33991; 8
-24.1807;  -46.47852; 1
-23.96488;  -46.33251; 7
-24.18;  -46.47866; 6
-23.93505;  -46.32668; 2
-23.96842;  -46.35642; 1
-23.96897;  -46.38561; 3
-24.1814;  -46.47871; 7
-23.99873;  -46.4144; 3
-23.96878;  -46.36014; 1
-23.96869;  -46.35557; 6
-23.96846;  -46.33894; 3
-23.9687;  -46.35602; 12
-23.93535;  -46.32488; 7
-23.9336;  -46.33498; 1
-23.9987;  -46.41447; 6
-23.96971;  -46.40032; 4
-23.96101;  -46.33205; 12
-23.97191;  -46.39572; 1
-23.99868;  -46.41459; 2
-23.9702;  -46.36792; 1
-24.1824;  -46.47863; 4
-23.97017;  -46.37302; 2
-23.97172;  -46.3928; 1
-24.1818;  -46.47869; 2
-23.94506;  -46.3353; 8
-23.97164;  -46.39323; 6
-23.9677;  -46.37722; 5
-23.97147;  -46.36953; 1
-23.95165;  -46.33082; 2
-23.93653;  -46.32457; 5
-23.97195;  -46.3966; 4
-23.99867;  -46.41447; 4
-23.99832;  -46.41406; 7
-23.97171;  -46.36894; 10
-23.94543;  -46.3301; 3
-24.1808;  -46.47867; 8
-23.99411;  -46.40633; 2
-23.94457;  -46.32541; 3
-23.96608;  -46.38052; 6
-23.96878;  -46.38828; 6
-24.1806;  -46.47864; 1
-23.95959;  -46.33183; 6
-23.96829;  -46.40217; 3
-23.95372;  -46.33115; 3
-24.1809;  -46.47876; 5
-23.99934;  -46.41423; 9
-23.93416;  -46.33524; 1
-24.1807;  -46.47868; 3
-23.9988;  -46.41206; 1
-23.9715;  -46.37019; 9
-23.96869;  -46.36069; 4
-23.96543;  -46.38637; 1
