"lat"; "lon"; "weight"
 -23.97103;  -46.36888; 30000
 -23.96902;  -46.39122; 70000
 -23.96652;  -46.33914; 80000
 -23.96517;  -46.33887; 60000
 -23.96814;  -46.35129; 20000
 -23.96745;  -46.37791; 20000
 -24.1823;  -46.47851; 10000
 -23.96649;  -46.37985; 20000
 -23.96409;  -46.38413; 20000
 -23.96819;  -46.38405; 30000
 -23.94709;  -46.33036; 70000
 -23.95315;  -46.33743; 30000
 -23.96751;  -46.37784; 20000
 -23.9454;  -46.33012; 70000
 -24.1813;  -46.47876; 150000
 -23.99581;  -46.40881; 30000
 -23.97103;  -46.37118; 30000
 -23.96803;  -46.3391; 20000
 -23.96728;  -46.33919; 80000
 -23.96322;  -46.33231; 120000
 -23.96828;  -46.37626; 10000
 -23.96858;  -46.35842; 20000
 -24.1815;  -46.47874; 60000
 -23.9544;  -46.33115; 100000
 -24.1817;  -46.4786; 10000
 -23.96878;  -46.36108; 50000
 -23.96679;  -46.33268; 80000
 -23.97219;  -46.39898; 10000
 -24.1816;  -46.47858; 10000
 -23.99504;  -46.40727; 60000
 -23.96826;  -46.40217; 60000
 -23.94437;  -46.32752; 50000
 -24.1817;  -46.47872; 280000
 -23.93713;  -46.33256; 60000
 -23.96983;  -46.37332; 120000
 -23.9686;  -46.38542; 10000
 -23.94446;  -46.32663; 70000
 -23.97201;  -46.39784; 10000
 -23.99858;  -46.41452; 20000
 -23.96982;  -46.36621; 20000
 -23.97178;  -46.39591; 60000
 -23.96798;  -46.34365; 70000
 -24.1819;  -46.47878; 10000
 -23.97202;  -46.39736; 20000
 -23.96814;  -46.34347; 10000
 -23.95346;  -46.33746; 10000
 -23.96704;  -46.33267; 20000
 -23.94448;  -46.32669; 20000
 -23.94522;  -46.33538; 10000
 -23.96891;  -46.37527; 60000
 -23.96767;  -46.34743; 50000
 -23.94398;  -46.33495; 10000
 -23.9686;  -46.35801; 100000
 -23.96905;  -46.36163; 90000
 -23.99665;  -46.40963; 10000
 -23.96843;  -46.35301; 10000
 -24.181;  -46.4787; 60000
 -23.94272;  -46.32504; 10000
 -24.182;  -46.47852; 70000
 -23.94156;  -46.33475; 90000
 -23.94693;  -46.33612; 70000
 -23.9341;  -46.33094; 10000
 -23.96787;  -46.34794; 40000
 -23.9684;  -46.35459; 30000
 -23.99958;  -46.41549; 130000
 -23.95311;  -46.33741; 10000
 -23.9716;  -46.36983; 10000
 -23.96901;  -46.37475; 40000
 -23.99876;  -46.41433; 20000
 -23.96982;  -46.36677; 40000
 -23.99863;  -46.41441; 50000
 -23.96546;  -46.38629; 40000
 -23.95667;  -46.3379; 50000
 -23.969;  -46.37471; 30000
 -23.97135;  -46.3704; 10000
 -23.96737;  -46.37798; 30000
 -23.96676;  -46.3814; 50000
 -23.96923;  -46.3748; 120000
 -24.1818;  -46.47886; 10000
 -23.95675;  -46.3379; 20000
 -23.97147;  -46.37048; 10000
 -24.1823;  -46.47875; 50000
 -23.99164;  -46.40307; 80000
 -23.95325;  -46.33742; 10000
 -23.96848;  -46.35734; 70000
 -23.95955;  -46.33186; 30000
 -23.96918;  -46.3744; 60000
 -23.9684;  -46.35873; 10000
 -23.96307;  -46.33862; 20000
 -23.96792;  -46.34742; 10000
 -23.94527;  -46.33005; 30000
 -23.95735;  -46.33792; 20000
 -23.949068;  -46.336944; 290000
 -23.93828;  -46.32474; 60000
 -23.9647;  -46.33251; 30000
 -24.1811;  -46.47867; 30000
 -24.1822;  -46.47878; 50000
 -23.96564;  -46.38104; 10000
 -23.96862;  -46.38528; 20000
 -23.99934;  -46.41419; 20000
 -24.1527;  -46.46515; 50000
 -23.99899;  -46.41381; 10000
 -24.181;  -46.47872; 30000
 -23.96826;  -46.38221; 10000
 -24.1817;  -46.47869; 60000
 -23.9987;  -46.41449; 110000
 -23.99866;  -46.41455; 10000
 -24.1811;  -46.4788; 20000
 -23.96747;  -46.37806; 60000
 -23.9698;  -46.36532; 80000
 -23.9874;  -46.40052; 50000
 -23.99863;  -46.41435; 30000
 -23.95891;  -46.33175; 10000
 -23.97192;  -46.39635; 10000
 -23.96818;  -46.3823; 60000
 -23.99871;  -46.41447; 30000
 -23.94552;  -46.33545; 60000
 -23.99908;  -46.41421; 40000
 -24.182;  -46.47875; 210000
 -24.1813;  -46.47815; 10000
 -23.96834;  -46.40059; 10000
 -23.93497;  -46.32776; 20000
 -23.96851;  -46.353; 10000
 -23.96432;  -46.38569; 10000
 -23.96663;  -46.33269; 30000
 -23.9662;  -46.33266; 90000
 -23.96813;  -46.34104; 120000
 -24.1808;  -46.47869; 20000
 -23.99861;  -46.41447; 40000
 -24.1806;  -46.47873; 50000
 -24.1807;  -46.47873; 30000
 -23.96878;  -46.36106; 70000
 -23.99876;  -46.4145; 20000
 -24.1808;  -46.4787; 70000
 -23.99877;  -46.41453; 50000
 -23.99136;  -46.40301; 170000
 -23.9986;  -46.4145; 30000
 -24.1812;  -46.47872; 80000
 -23.99833;  -46.41406; 30000
 -24.1825;  -46.47876; 20000
 -23.99934;  -46.41421; 60000
 -23.94387;  -46.32511; 10000
 -23.98712;  -46.40044; 10000
 -23.96963;  -46.33324; 10000
 -23.96601;  -46.38086; 10000
 -24.1814;  -46.47874; 110000
 -23.99171;  -46.40317; 20000
 -23.93454;  -46.3285; 50000
 -23.97221;  -46.39932; 40000
 -23.94911;  -46.33062; 10000
 -23.96811;  -46.35101; 170000
 -23.96903;  -46.33519; 20000
 -23.99868;  -46.4145; 40000
 -24.1816;  -46.47876; 20000
 -23.99631;  -46.4089; 80000
 -23.93427;  -46.33529; 40000
 -23.94079;  -46.33474; 10000
 -23.96911;  -46.33521; 60000
 -23.96862;  -46.37567; 20000
 -23.97208;  -46.39803; 10000
 -23.94526;  -46.33535; 140000
 -23.96843;  -46.35675; 50000
 -23.98163;  -46.4011; 20000
 -23.99865;  -46.41444; 50000
 -24.1642;  -46.46829; 10000
 -23.93359;  -46.33264; 50000
 -23.9689;  -46.37513; 10000
 -23.95353;  -46.33744; 20000
 -24.1812;  -46.4787; 20000
 -24.182;  -46.47872; 20000
 -23.9698;  -46.36438; 130000
 -23.96727;  -46.40203; 30000
 -23.95798;  -46.33161; 30000
 -23.96859;  -46.37583; 40000
 -23.95294;  -46.33745; 30000
 -23.97005;  -46.38937; 40000
 -23.96785;  -46.3328; 110000
 -23.9715;  -46.37044; 10000
 -23.9694;  -46.38562; 20000
 -23.93355;  -46.33296; 70000
 -24.181;  -46.47869; 50000
 -23.96805;  -46.3496; 10000
 -23.97174;  -46.39364; 20000
 -24.474;  -46.43891; 110000
 -23.96358;  -46.3853; 30000
 -23.96755;  -46.33902; 40000
 -24.1805;  -46.47872; 60000
 -23.94722;  -46.33654; 20000
 -23.96759;  -46.40247; 120000
 -23.96419;  -46.38406; 30000
 -23.94945;  -46.33063; 10000
 -24.182;  -46.4787; 20000
 -23.96825;  -46.34076; 40000
 -23.9598;  -46.33814; 80000
 -23.95264;  -46.33735; 30000
 -24.1817;  -46.47875; 140000
 -24.1825;  -46.47842; 20000
 -23.96747;  -46.33899; 60000
 -23.96799;  -46.34972; 10000
 -23.94155;  -46.3348; 50000
 -23.93479;  -46.32782; 60000
 -23.95259;  -46.33097; 60000
 -23.99819;  -46.41257; 10000
 -23.99877;  -46.41425; 40000
 -24.1819;  -46.47877; 180000
 -23.96801;  -46.34445; 60000
 -23.96863;  -46.35362; 20000
 -23.93414;  -46.33527; 90000
 -23.94222;  -46.33481; 60000
 -23.96853;  -46.3824; 30000
 -23.94869;  -46.33684; 20000
 -23.99869;  -46.41445; 40000
 -23.96865;  -46.33302; 10000
 -23.99508;  -46.40726; 10000
 -23.97184;  -46.39455; 10000
 -23.96909;  -46.38954; 10000
 -24.1821;  -46.47848; 10000
 -24.1811;  -46.47876; 160000
 -23.93532;  -46.32504; 70000
 -23.96998;  -46.38625; 20000
 -23.96889;  -46.33606; 180000
 -23.96813;  -46.3842; 10000
 -23.96817;  -46.33292; 80000
 -23.96797;  -46.38421; 30000
 -23.97128;  -46.39883; 120000
 -23.96895;  -46.36205; 20000
 -23.99866;  -46.41446; 20000
 -23.94418;  -46.32892; 90000
 -23.9579;  -46.33157; 60000
 -23.96516;  -46.33888; 30000
 -23.99841;  -46.41178; 50000
 -23.96866;  -46.38884; 20000
 -23.93484;  -46.33473; 40000
 -23.95742;  -46.33151; 20000
 -23.96636;  -46.38664; 10000
 -23.96839;  -46.35175; 20000
 -24.1815;  -46.47872; 40000
 -23.99906;  -46.41419; 20000
 -23.96977;  -46.3644; 40000
 -23.97147;  -46.37022; 40000
 -23.94143;  -46.32494; 10000
 -23.96742;  -46.37802; 70000
 -23.96792;  -46.33913; 60000
 -23.96973;  -46.39026; 20000
 -23.96838;  -46.35191; 40000
 -23.96983;  -46.36453; 10000
 -24.1822;  -46.4787; 30000
 -24.173;  -46.47106; 10000
 -23.96653;  -46.40101; 70000
 -23.97485;  -46.40184; 260000
 -23.94413;  -46.32977; 30000
 -24.1821;  -46.47869; 110000
 -23.96878;  -46.35361; 10000
 -23.94446;  -46.32674; 10000
 -23.99866;  -46.41437; 20000
 -23.97074;  -46.37175; 10000
 0.0;  0.0; 60000
 -24.1814;  -46.47878; 110000
 -23.96993;  -46.38736; 20000
